date,y_lstm,y_prophet2,y_fourier2,y_mean
2023-11-11,-11.188838988542557,0.1813306346239036,5.5020040455659815,-0.3006249999999999
2023-11-12,-10.7531161904335,-0.033854223011807,5.621783179658467,-0.76625
2023-11-13,-11.386918872594832,-0.2146184586826578,5.83098456098327,-0.8856250000000001
2023-11-14,-10.76766087412834,-0.5665392546613655,6.124459989867447,-0.3158333333333333
2023-11-15,-11.570273661613465,-1.1109354104442817,6.495625573220832,-0.4872916666666667
2023-11-16,-11.642591154575348,-1.3332861091592418,6.936574217135065,-0.941875
2023-11-17,-11.80637131333351,-1.6215598116734693,7.438210160157361,-0.8945833333333333
2023-11-18,-11.31931168437004,-2.016695852844588,7.990403288087597,-1.2558333333333334
2023-11-19,-9.086219352483749,-2.305487618248783,8.582160642051772,-1.7910416666666666
2023-11-20,-9.311433494091032,-2.549300524189764,9.201812245652794,-1.5904166666666668
2023-11-21,-8.787097352743148,-2.950964726622745,9.837208138952825,-2.245833333333333
2023-11-22,-9.804829090833662,-3.529270920897975,10.475923320865984,-3.0360416666666663
2023-11-23,-8.147833305597304,-3.7674704909692833,11.10546717034133,-3.03375
2023-11-24,-10.155631095170971,-4.05167864159936,11.713493842685528,-3.3004166666666666
2023-11-25,-12.186223465204238,-4.42142082247361,12.288010121753729,-3.084166666666667
2023-11-26,-10.25780274271965,-4.662569310830217,12.817577251797188,-3.158333333333333
2023-11-27,-9.853595060110091,-4.83610147769409,13.291503373790755,-3.0075000000000003
2023-11-28,-9.120513194799422,-5.145018330774565,13.700023348402384,-3.012916666666667
2023-11-29,-8.998009973764418,-5.608850769446218,14.0344629588021,-4.557083333333334
2023-11-30,-10.165365463495254,-5.712154319246585,14.287384747736564,-5.311875
2023-12-01,-12.210231900215147,-5.842890940418122,14.452713050377508,-5.382083333333333
2023-12-02,-11.791930562257766,-6.042938636330573,14.52583613228286,-4.960833333333333
2023-12-03,-10.461946016550064,-6.100976592010864,14.50368372460258,-4.474375
2023-12-04,-13.02412431836128,-6.081178655866347,14.38477866004576,-3.465208333333333
2023-12-05,-12.871276694536208,-6.19005543559417,14.169261746252031,-3.475
2023-12-06,-15.06162330508232,-6.450874465525063,13.85888946086208,-3.879583333333333
2023-12-07,-14.70847595334053,-6.352061522779842,13.457004507298668,-3.355
2023-12-08,-15.82580651640892,-6.285484220208894,12.96847972446674,-4.533125
2023-12-09,-15.88188698887825,-6.296861287998763,12.399636289681176,-5.2508333333333335
2023-12-10,-16.11527062654495,-6.178548036982867,11.758137584684636,-5.015208333333333
2023-12-11,-13.804842621088028,-5.998133578327756,11.052860502432654,-4.368125
2023-12-12,-12.392563050985336,-5.965192752488447,10.293746350579946,-4.645208333333334
2023-12-13,-12.809134793281554,-6.105624750693645,9.491633849970302,-5.408124999999999
2023-12-14,-11.24683927297592,-5.909983804313721,8.658077027176642,-5.469791666666667
2023-12-15,-13.34836859703064,-5.77170507435899,7.805151054212304,-6.461875
2023-12-16,-16.133923590183258,-5.737470805880728,6.945249291668212,-6.732083333333333
2023-12-17,-15.78373537659645,-5.599968494275156,6.090874940299709,-6.388541666666666
2023-12-18,-15.31060271859169,-5.426477456582878,5.254430797971315,-6.474791666666667
2023-12-19,-15.352836620807649,-5.425627119544204,4.448010652295276,-5.922499999999999
2023-12-20,-16.119935828447343,-5.6217588957174325,3.683195813671836,-5.784166666666667
2023-12-21,-17.307924884557725,-5.503296442493443,2.9708602091425305,-5.826249999999999
2023-12-22,-15.88188698887825,-5.46102640259547,2.3209873158678604,-6.003333333333334
2023-12-23,-16.599310326576234,-5.538533232350043,1.7425020164615983,-6.303333333333334
2023-12-24,-17.81938710808754,-5.525038021794933,1.2431202100978054,-6.171250000000001
2023-12-25,-18.05363358259201,-5.484075523563785,0.8292187173638959,-6.558125
2023-12-26,-18.24160847067833,-5.620350253665452,0.5057276781707372,-6.302916666666667
2023-12-27,-17.773401826620102,-5.954200882722054,0.2760472662758244,-5.8343750000000005
2023-12-28,-17.478658723831177,-5.970074929834627,0.1419901373771286,-6.170833333333333
2023-12-29,-17.238635164499282,-6.054913022886967,0.1037505970656228,-6.6727083333333335
2023-12-30,-14.027770245075226,-6.248683523948443,0.1599010273625349,-6.205625
2023-12-31,-12.128589886426925,-6.337314721722525,0.3074156535824612,-6.008125
2024-01-01,-13.224482876062392,-6.381456286813731,0.5417212744894613,-6.976530612244899
2024-01-02,-16.380796897411347,-6.583408582768099,0.856774125821014,-6.8887755102040815
2024-01-03,-16.29700955748558,-6.961647095330262,1.2451616078265366,-7.356122448979591
2024-01-04,-13.29597086906433,-6.999342403936364,1.6982271888662392,-7.40204081632653
2024-01-05,-13.090943187475204,-7.082773782654492,2.2062164063684286,-7.363673469387755
2024-01-06,-13.481665122509002,-7.251876495867105,2.758441530114537,-8.49408163265306
2024-01-07,-14.174603503942487,-7.29316971980685,3.3434621369117874,-9.096938775510203
2024-01-08,-15.06632576584816,-7.268496983483203,3.949278575553672,-8.154489795918368
2024-01-09,-15.085131686925887,-7.381918381119808,4.563535081131657,-7.063469387755102
