date,y
2023-09-11,13.760000000000002
2023-09-12,11.749999999999996
2023-09-13,12.65
2023-09-14,11.34
2023-09-15,12.62
2023-09-16,10.960000000000004
2023-09-17,10.81
2023-09-18,10.47
2023-09-19,11.480000000000004
2023-09-20,16.07
2023-09-21,15.61
2023-09-22,16.680000000000003
2023-09-23,14.600000000000003
2023-09-24,17.98
2023-09-25,13.879999999999995
2023-09-26,9.679999999999998
2023-09-27,13.67
2023-09-28,14.5
2023-09-29,15.999999999999998
2023-09-30,16.249999999999996
2023-10-01,13.859999999999998
2023-10-02,9.629999999999995
2023-10-03,10.499999999999998
2023-10-04,13.250000000000002
2023-10-05,7.930000000000001
2023-10-06,8.250000000000002
2023-10-07,3.629999999999999
2023-10-08,4.379999999999997
2023-10-09,1.999999999999997
2023-10-10,1.880000000000001
2023-10-11,1.3800000000000017
2023-10-12,6.289999999999999
2023-10-13,9.25
2023-10-14,8.379999999999999
2023-10-15,11.63
2023-10-16,7.2500000000000036
2023-10-17,1.3400000000000007
2023-10-18,2.0899999999999994
2023-10-19,3.0999999999999983
2023-10-20,3.010000000000004
2023-10-21,1.3700000000000014
2023-10-22,-1.1899999999999964
2023-10-23,1.880000000000001
2023-10-24,0.3400000000000021
2023-10-25,-2.299999999999998
2023-10-26,-2.8100000000000014
2023-10-27,-3.220000000000001
2023-10-28,-2.2000000000000024
2023-10-29,-1.5599999999999994
2023-10-30,-1.0399999999999996
2023-10-31,5.82
2023-11-01,9.8
2023-11-02,7.509999999999996
2023-11-03,0.8100000000000005
2023-11-04,0.9899999999999982
2023-11-05,7.359999999999999
2023-11-06,7.7899999999999965
2023-11-07,6.969999999999996
2023-11-08,5.51
2023-11-09,3.6199999999999983
2023-11-10,3.579999999999997
2023-11-11,-11.188838988542557
2023-11-12,-10.7531161904335
2023-11-13,-11.386918872594832
2023-11-14,-10.76766087412834
2023-11-15,-11.570273661613465
2023-11-16,-11.642591154575348
2023-11-17,-11.80637131333351
2023-11-18,-11.31931168437004
2023-11-19,-9.086219352483749
2023-11-20,-9.311433494091032
2023-11-21,-8.787097352743148
2023-11-22,-9.804829090833662
2023-11-23,-8.147833305597304
2023-11-24,-10.155631095170971
2023-11-25,-12.186223465204238
2023-11-26,-10.25780274271965
2023-11-27,-9.853595060110091
2023-11-28,-9.120513194799422
2023-11-29,-8.998009973764418
2023-11-30,-10.165365463495254
2023-12-01,-12.210231900215147
2023-12-02,-11.791930562257766
2023-12-03,-10.461946016550064
2023-12-04,-13.02412431836128
2023-12-05,-12.871276694536208
2023-12-06,-15.06162330508232
2023-12-07,-14.70847595334053
2023-12-08,-15.82580651640892
2023-12-09,-15.88188698887825
2023-12-10,-16.11527062654495
2023-12-11,-13.804842621088028
2023-12-12,-12.392563050985336
2023-12-13,-12.809134793281554
2023-12-14,-11.24683927297592
2023-12-15,-13.34836859703064
2023-12-16,-16.133923590183258
2023-12-17,-15.78373537659645
2023-12-18,-15.31060271859169
2023-12-19,-15.352836620807649
2023-12-20,-16.119935828447343
2023-12-21,-17.307924884557725
2023-12-22,-15.88188698887825
2023-12-23,-16.599310326576234
2023-12-24,-17.81938710808754
2023-12-25,-18.05363358259201
2023-12-26,-18.24160847067833
2023-12-27,-17.773401826620102
2023-12-28,-17.478658723831177
2023-12-29,-17.238635164499282
2023-12-30,-14.027770245075226
2023-12-31,-12.128589886426925
2024-01-01,-13.224482876062392
2024-01-02,-16.380796897411347
2024-01-03,-16.29700955748558
2024-01-04,-13.29597086906433
2024-01-05,-13.090943187475204
2024-01-06,-13.481665122509002
2024-01-07,-14.174603503942487
2024-01-08,-15.06632576584816
2024-01-09,-15.085131686925887
